,time,cpu_cores,pod,cpu_unit,memory_bytes,memory_unit,cpu_usage_nanocores,memory_working_set_bytes
58,1683093600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12029296.675,22511377.066666663
59,1683090000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11503767.75,22711978.666666668
60,1683086400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12049581.966666669,22662724.266666666
61,1683082800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12066985.725,22597597.866666667
62,1683079200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10774509.1,23171515.733333334
63,1683075600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9786930.541666666,23152401.066666663
64,1683072000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10775052.45,22805811.2
65,1683068400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14125448.675,22877730.133333333
66,1683064800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9803518.116666667,23255210.666666668
67,1683061200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6266600.05,24140288.0
68,1683057600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4269127.25,25663385.6
69,1683054000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3370717.825,27054796.8
70,1683050400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3202576.783333333,27441220.266666666
71,1683046800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3268532.0,27164945.066666663
72,1683043200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3575604.0416666665,26994892.8
73,1683039600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4098563.741666666,25943313.066666663
74,1683036000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4803782.091666667,24695398.4
75,1683032400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6245418.583333333,23877256.533333335
76,1683028800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7602456.283333333,23387204.266666666
77,1683025200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9086554.216666669,22596983.466666665
78,1683021600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11688898.45,22385356.8
79,1683018000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15320013.375,22377198.933333337
80,1683014400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13607508.016666668,22428979.2
81,1683010800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11825383.975,22477516.8
82,1683007200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11330129.783333331,22654361.6
83,1683003600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11102617.575,22434269.866666667
84,1683000000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11367719.641666668,22590566.4
85,1682996400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11627893.466666669,22570018.133333333
86,1682992800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10853043.791666666,22612002.133333333
87,1682989200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9868999.941666666,23380343.466666665
88,1682985600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10743866.575,23090380.8
89,1682982000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14636503.758333333,23196194.133333333
90,1682978400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10353104.8,23232955.733333334
91,1682974800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6494207.191666666,23884902.4
92,1682971200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4346126.433333334,25690965.333333332
93,1682967600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3391132.1333333333,27301614.933333337
94,1682964000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3187471.525,27109068.8
95,1682960400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3267170.775,26813883.733333334
96,1682956800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3502889.558333333,26326630.4
97,1682953200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3936102.4833333334,25458278.4
98,1682949600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4723111.016666667,24640443.733333334
99,1682946000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5969406.2,23877802.666666668
100,1682942400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7328160.65,23403485.866666667
101,1682938800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,8571698.441666666,23420211.2
102,1682935200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10450803.083333334,23156121.6
103,1682931600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13482934.25,22969548.8
104,1682928000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14308082.366666667,23095842.133333333
105,1682924400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14291936.616666667,22948761.6
106,1682920800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14474755.983333332,22987434.666666668
107,1682917200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14448911.891666668,23167112.533333335
108,1682913600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14911344.083333334,23079355.733333334
109,1682910000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15019173.091666669,22990813.866666667
110,1682906400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13647858.025,22931251.2
111,1682902800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11815441.641666668,22996548.266666666
112,1682899200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10355929.2,22666001.066666663
113,1682895600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9727306.566666666,23132842.666666668
114,1682892000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6930196.166666667,24053009.066666663
115,1682888400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5140665.125,24425881.6
116,1682884800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3960463.308333333,25705437.866666667
117,1682881200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3384939.75,26752238.933333337
118,1682877600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3273620.2,26090666.666666668
119,1682874000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3342736.1416666666,27314176.0
120,1682870400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3666523.2916666665,26423296.0
121,1682866800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4214173.075,25103189.333333332
122,1682863200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5030688.641666667,24558284.8
123,1682859600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6289998.158333333,24003242.666666668
124,1682856000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7836296.8,23358156.8
125,1682852400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9251570.675,23400925.866666667
126,1682848800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10804779.766666668,23206912.0
127,1682845200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13362234.258333333,22935859.2
128,1682841600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14544771.608333332,23027370.666666668
129,1682838000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14714518.516666668,23237051.733333334
130,1682834400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15312682.741666667,22823014.4
131,1682830800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15403197.516666668,22859946.666666668
132,1682827200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15870222.45,22997572.266666666
133,1682823600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15427621.241666667,23155848.533333335
134,1682820000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,13806264.85,23134754.133333333
135,1682816400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,11928376.233333332,23141580.8
136,1682812800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,9090097.358333332,23221350.4
137,1682809200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7133264.633333334,23419665.066666663
138,1682805600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,5657878.566666666,24282726.4
139,1682802000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4758821.05,24785203.2
140,1682798400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3872774.316666667,26255837.866666667
141,1682794800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3404489.0833333335,27213824.0
142,1682791200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3351094.7333333334,26621713.066666663
143,1682787600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3482935.7916666665,26082440.533333335
144,1682784000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,3827863.5833333335,25655364.266666666
145,1682780400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4251857.816666666,25245013.333333332
146,1682776800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,4837727.091666667,24896477.866666667
147,1682773200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,6231745.891666667,23856025.6
148,1682769600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,7647671.65,23556096.0
149,1682766000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,8768323.55,23323750.4
150,1682762400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,10425629.508333333,23206468.266666666
151,1682758800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,12925640.408333331,23226914.133333333
152,1682755200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14125996.216666669,23143526.4
153,1682751600000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14010187.05,23018291.2
154,1682748000000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14415772.083333334,23215445.333333332
155,1682744400000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,14593421.15,23126732.8
156,1682740800000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15041083.841666669,22947976.533333335
157,1682737200000000000,1.0,account-journaling-az2-prd-user-profile-sync-sink-74cd8b472hdn4,core,1073741824.0,byte,15357428.533333331,22507997.866666667
